thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=suburb,n,5053626820,-5.5190596,14.6849978,suburb,,Camp Manteke,"""name""=>""Camp Manteke"", ""place""=>""suburb"", ""start_date""=>""~1929"""
Localities,place=village,n,4966369118,-6.066667,19.866667,village,,Kasambo,"""name""=>""Kasambo"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=town,n,27043390,-4.3464741,15.304893,town,,Kasa-Vubu,"""name""=>""Kasa-Vubu"", ""is_in""=>""Kinshasa, Congo-Kinshasa"", ""place""=>""town"""
Localities,place=quarter,n,3657219589,-11.6391572,27.5398927,quarter,,Matoleo,"""name""=>""Matoleo"", ""place""=>""quarter"", ""admin_level""=>""8"""
Localities,place=village,n,7016971975,0.7899848,29.2003378,village,,,"""place""=>""village"""
Localities,place=village,n,4899913830,-6.0223417,29.0314936,village,,,"""place""=>""village"""
Localities,place=hamlet,n,4575069729,-6.183398,23.2604228,hamlet,,,"""place""=>""hamlet"", ""source""=>""Bing"""
Localities,place=village,n,4857858622,-5.453557,26.8333311,village,,,"""place""=>""village"""
Localities,place=village,n,1161453963,-4.67609,18.91995,village,,Mbelo Mungala,"""name""=>""Mbelo Mungala"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Musenge"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Niadi Nkara"""
Localities,place=village,n,4857858575,-5.2408002,26.1539382,village,,,"""place""=>""village"""
Localities,place=village,n,5041499191,-4.3144415,29.2253773,village,,Bwenge,"""name""=>""Bwenge"", ""place""=>""village"", ""source""=>""MSFsurvey"", ""alt_name""=>""Misofi"", ""households""=>""30"", ""population""=>""469"", ""source:date""=>""2017-07"", ""is_in:health_level6""=>""Fizi"", ""is_in:health_level8""=>""Mwayenga"""
Localities,place=village,n,4621945845,-5.6756215,28.6259455,village,,,"""place""=>""village"""
Localities,place=village,n,3729421845,3.4959092,20.4208352,village,,,"""place""=>""village"""
Localities,place=village,n,1156635724,-3.1960833,26.8286694,village,,Kikuni,"""name""=>""Kikuni"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/01"", ""is_in:groupement""=>""Nangi"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Beia"""
